Labels,Predicted
2653.0,2695.6
2359.0,3982.9666666666667
2007.0000000000002,1764.0666666666666
3093.0,2523.0666666666666
2880.0,2817.173333333333
2695.0,2385.44
2337.0,3063.6
3475.0,3974.326666666667
1431.0,2425.9133333333334
2620.0,3867.0933333333332
2115.0,2865.286666666667
4912.0,3697.04
4399.0,2641.7044444444446
2720.0,2491.8733333333334
3113.0,3577.26
1427.0,2711.2266666666665
4234.0,4452.28
2998.0,3345.8355555555554
2202.0,3273.7533333333336
1795.0,2592.0933333333332
2711.0,3056.173333333333
3710.0000000000005,2975.94
2755.0,3103.286666666667
2121.0,3658.3533333333335
3828.0000000000005,2885.6066666666666
4693.0,3041.68
3080.0,2942.8133333333335
2359.0,2397.5533333333333
3615.0,4103.3133333333335
1267.0,2674.0733333333333
2850.0,3463.8133333333335
3883.0000000000005,2652.326666666667
3370.0,3290.2733333333335
1590.0,2606.3933333333334
2275.0,2597.9533333333334
2054.0,2205.5333333333333
2667.0,3469.16
2458.0,2785.786666666667
1937.0000000000002,2952.2933333333335
1574.0,2452.44
3161.0,2229.2504603174607
2988.0,2605.4133333333334
2473.0,2967.5533333333333
2977.0,2644.6666666666665
3051.0,3214.82
3487.0,2505.96
2408.0,2318.1666666666665
2093.0,2596.9866666666667
3635.0,3324.58
2581.0,4235.673333333333
3172.0,2563.0666666666666
1609.0,3049.4266666666667
2400.0,2300.7733333333335
3127.0,3202.4266666666667
2708.0,2703.9533333333334
1964.0000000000002,2565.7533333333336
1809.0,2930.5666666666666
4797.0,2241.1666666666665
2902.0,2760.52
2573.0,2415.96
4914.0,4077.9
3242.0,2618.18
2106.0,2943.286666666667
5455.0,3287.82
2111.0,2519.32
1869.0000000000002,2256.06
2246.0,2751.0
2267.0,2430.36
2275.0,2007.5933333333332
3640.0,3305.88
3199.0,4041.7
2588.0,3050.866666666667
1967.0000000000002,3225.92
1841.0000000000002,2438.32
2376.0,3278.5933333333332
2277.0,1955.5133333333333
2211.0,2847.6266666666666
2107.0,2392.05
3444.0,3924.26
2218.0,2782.7733333333335
1433.0,2414.5466666666666
1907.0000000000002,2698.0266666666666
3235.0,3023.0533333333333
4469.0,2536.0733333333333
1518.0,2970.6133333333332
2519.0,2303.846666666667
1598.0,1800.1366666666668
3486.0,2806.88
1433.0,2736.36
2331.0,2984.213333333333
3273.0,2919.346666666667
2253.0,3064.733333333333
1882.0000000000002,4446.14
2017.0000000000002,3007.7627777777775
2127.0,3220.7933333333335
5119.0,2884.5266666666666
2526.0,2719.98
3194.0,3615.2022222222226
2091.0,2133.8866666666668
2432.0,3054.673333333333
1702.0,2559.8933333333334
2255.0,2730.7466666666664
3779.0000000000005,3175.8311111111107
3028.0,3043.0
2201.0,2731.4733333333334
2050.0,2663.6133333333332
3464.0,2554.5333333333333
2386.0,2926.9666666666667
2778.0,2832.0933333333332
2476.0,3255.3866666666668
5048.0,2454.3866666666668
3014.0,2698.0066666666667
2206.0,2774.233333333333
4596.0,3880.4933333333333
2142.0,2997.36
2840.0,2677.7466666666664
2516.0,2621.8133333333335
4194.0,3012.8
1799.0,2553.871111111111
3574.0,4209.093333333333
4247.0,3149.78
2970.0,3438.693333333333
2458.0,1981.7333333333333
1620.0,2990.693333333333
2761.0,2921.1466666666665
3905.0000000000005,3216.3133333333335
2542.0,3567.8
3132.0,4314.8533333333335
2742.0,2947.7466666666664
1534.0,2621.0933333333332
3100.0,2418.58
2013.0000000000002,1866.9466666666667
1831.0000000000002,2434.2483333333334
4711.0,3159.8133333333335
3732.0000000000005,3746.673333333333
2206.0,2333.366666666667
1553.0,2154.22
2163.0,2756.9333333333334
2790.0,3611.6266666666666
2274.0,2784.88
4204.0,2891.0466666666666
2407.0,2645.633333333333
4529.0,3023.4066666666668
1879.0000000000002,1905.54
3374.0,4281.253333333333
1418.0,2317.86
2660.0,2160.6666666666665
2104.0,2886.7733333333335
2020.0000000000002,2207.8133333333335
2081.0,2922.0666666666666
3185.0,3440.8406666666665
3531.0,3360.4466666666667
2946.0,3167.16
1913.0000000000002,2491.286666666667
1508.0,3334.26
4391.0,2562.44
1661.0,2318.806666666667
3897.0000000000005,2141.3133333333335
1278.0,2859.38
5192.0,3757.26
2699.0,3036.8333333333335
3056.0,3468.4733333333334
3473.0,3703.4066666666668
2343.0,3138.18
2612.0,2261.3333333333335
3333.0,3672.5
1676.0,3569.68
3653.0000000000005,3581.911333333333
2384.0,2472.0466666666666
4004.0000000000005,2798.733333333333
2412.0,3085.5266666666666
3261.0,3243.44
2307.0,2177.9933333333333
2742.0,2494.4733333333334
2493.0,4094.62
2051.0,2784.38
2006.0000000000002,3047.8
4494.0,3185.6866666666665
3280.0,2999.88
1976.0000000000002,3226.56
4517.0,3346.4333333333334
2775.0,2676.4466666666667
1925.0000000000002,2844.5466666666666
2636.0,2978.133333333333
2079.0,2073.9466666666667
2887.0,2476.5
3365.0,3871.4733333333334
2750.0,2446.62
1627.0,2590.9933333333333
2421.0,2883.222666666667
3055.0,2531.56
2918.0,2121.16
3115.0,2585.5866666666666
1847.0000000000002,2361.5
2275.0,2543.42
2730.0,3177.18
3964.0000000000005,2267.766666666667
4043.0000000000005,3239.2044444444446
2302.0,2714.0133333333333
2495.0,3724.3133333333335
3031.0,3465.713333333333
3004.0,3055.133333333333
2260.0,2173.1666666666665
3200.0,2532.66
1480.0,2777.1666666666665
1743.0,2615.826666666667
2292.0,2506.1866666666665
2499.0,2908.82
1552.0,2652.2466666666664
2481.0,3553.56
2769.0,2434.9533333333334
2567.0,3016.9266666666667
4753.0,3186.4933333333333
2630.0,3354.26
3753.0000000000005,4117.04
3074.0,2662.4533333333334
3637.0,2838.2466666666664
2407.0,2912.5266666666666
2310.0,2041.3533333333332
4004.0000000000005,3467.7
1744.0,2079.84
1296.0,2804.4866666666667
5166.0,2924.9
2621.0,2853.9333333333334
1827.0000000000002,2918.306666666667
3338.0,3353.6666666666665
2414.0,2463.233333333333
1611.0,2595.6375555555555
3193.0,3070.9666666666667
1252.0,2224.233333333333
3254.0,4083.92
1619.0,2562.9533333333334
5603.0,4346.066666666667
2381.0,3659.7
8093.000000000001,5915.586666666667
2257.0,2598.806666666667
4050.0000000000005,3222.2533333333336
2601.0,2741.8333333333335
3972.0000000000005,2604.173333333333
2615.0,2381.76
3708.0000000000005,4134.0
871.0,2567.1466666666665
2238.0,3478.5333333333333
